"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 09 15:08:55 GMT 2022","Fri Sep 09 15:09:03 GMT 2022","7957","","com.provectus.kafka.ui.tests.ConnectorsTests","","com.provectus.kafka.ui.tests.ConnectorsTests","updateConnector","should update a connector",""
"passed","Fri Sep 09 15:07:33 GMT 2022","Fri Sep 09 15:07:42 GMT 2022","8789","","com.provectus.kafka.ui.SmokeTests","","com.provectus.kafka.ui.SmokeTests","mainPageLoads","main page should load",""
"passed","Fri Sep 09 15:08:43 GMT 2022","Fri Sep 09 15:08:53 GMT 2022","9513","","com.provectus.kafka.ui.tests.ConnectorsTests","","com.provectus.kafka.ui.tests.ConnectorsTests","createConnector","should create a connector",""
"skipped","Fri Sep 09 15:08:23 GMT 2022","Fri Sep 09 15:08:23 GMT 2022","0","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","updateTopic","should update a topic",""
"passed","Fri Sep 09 15:08:09 GMT 2022","Fri Sep 09 15:08:11 GMT 2022","1749","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","deleteSchemaProtobuf","should delete PROTOBUF schema",""
"passed","Fri Sep 09 15:07:51 GMT 2022","Fri Sep 09 15:07:56 GMT 2022","4979","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","createSchemaAvro","should create AVRO schema",""
"passed","Fri Sep 09 15:08:23 GMT 2022","Fri Sep 09 15:08:27 GMT 2022","4267","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","createTopic","should create a topic",""
"passed","Fri Sep 09 15:08:27 GMT 2022","Fri Sep 09 15:08:31 GMT 2022","3575","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","produceMessage","produce message",""
"passed","Fri Sep 09 15:08:07 GMT 2022","Fri Sep 09 15:08:09 GMT 2022","2301","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","createSchemaProtobuf","should create PROTOBUF schema",""
"passed","Fri Sep 09 15:08:03 GMT 2022","Fri Sep 09 15:08:05 GMT 2022","2747","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","createSchemaJson","should create JSON schema",""
"passed","Fri Sep 09 15:08:53 GMT 2022","Fri Sep 09 15:08:55 GMT 2022","2357","","com.provectus.kafka.ui.tests.ConnectorsTests","","com.provectus.kafka.ui.tests.ConnectorsTests","deleteConnector","should delete connector",""
"passed","Fri Sep 09 15:07:56 GMT 2022","Fri Sep 09 15:08:01 GMT 2022","4336","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","updateSchemaAvro","should update AVRO schema",""
"passed","Fri Sep 09 15:08:05 GMT 2022","Fri Sep 09 15:08:07 GMT 2022","1731","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","deleteSchemaJson","should delete JSON schema",""
"passed","Fri Sep 09 15:08:19 GMT 2022","Fri Sep 09 15:08:23 GMT 2022","3542","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","deleteTopic","should delete topic",""
"passed","Fri Sep 09 15:08:01 GMT 2022","Fri Sep 09 15:08:03 GMT 2022","1901","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","deleteSchemaAvro","should delete AVRO schema",""
